Sl. No.,State/UT,1st Instalment (December 2018 - March 2019) - No. of Beneficiaries,1st Instalment (December 2018 - March 2019) - Amount Disbursed,2nd Instalment (April - July 2019) - No. of Beneficiaries,2nd Instalment (April - July 2019) - Amount Disbursed,3rd Instalment (August - November 2019) - No. of Beneficiaries,3rd Instalment (August - November 2019) - Amount Disbursed,4th Instalment (December 2019 - March 2020) - No. of Beneficiaries,4th Instalment (December 2019 - March 2020) - Amount Disbursed,5th Instalment (April - July 2020) - No. of Beneficiaries,5th Instalment (April - July 2020) - Amount Disbursed,6th Instalment (August - November 2020) - No. of Beneficiaries,6th Instalment (August - November 2020) - Amount Disbursed,7th Instalment (December 2020 - March 2021) - No. of Beneficiaries,7th Instalment (December 2020 - March 2021) - Amount Disbursed,8th Instalment (April - July 2021) - No. of Beneficiaries,8th Instalment (April - July 2021) - Amount Disbursed,9th Instalment (August - November 2021) - No. of Beneficiaries,9th Instalment (August - November 2021) - Amount Disbursed,10th Instalment (December 2021 - March 2022) - No. of Beneficiaries,10th Instalment (December 2021 - March 2022) - Amount Disbursed,11th Instalment (April - July 2022) - No. of Beneficiaries,11th Instalment (April - July 2022) - Amount Disbursed,12th Instalment (August - November 2022) - No. of Beneficiaries,12th Instalment (August - November 2022) - Amount Disbursed,13th Instalment (December 2022 - March 2023) - No. of Beneficiaries,13th Instalment (December 2022 - March 2023) - Amount Disbursed,14th Instalment (April - July 2023) - No. of Beneficiaries,14th Instalment (April - July 2023) - Amount Disbursed,15th Instalment (August - November 2023) - No. of Beneficiaries,15th Instalment (August - November 2023) - Amount Disbursed,16th Instalment (December 2023 - March 2024) - No. of Beneficiaries,16th Instalment (December 2023 - March 2024) - Amount Disbursed,17th Instalment (April - July 2024) - No. of Beneficiaries,17th Instalment (April - July 2024) - Amount Disbursed,18th Instalment (August - Nov 2024) - No. of Beneficiaries,18th Instalment (August - Nov 2024) - Amount Disbursed
1,Andaman and Nicobar Islands,10107,2.02,13714,2.74,15915,3.74,16140,3.5,15971,3.26,16254,3.25,16109,3.22,16085,3.34,15593,3.13,15089,3.07,14952,3.05,14309,2.88,13046,2.63,13098,2.68,3620,0.93,12289,4.9,12546,2.8,12832,2.8
2,Andhra Pradesh,3316854,663.37,4176086,860.46,4204774,859.32,4741092,990.67,4757732,995.23,4690570,953.22,4536332,916.67,4463009,1037.31,4428728,917.55,4461403,952.91,4400691,932.61,4150820,1047.28,4073711,980.79,4136636,996.66,3956931,893.29,4076229,923.87,4140569,875.56,4122252,836.31
3,Arunachal Pradesh,1816,0.36,6988,1.4,42724,9.32,62878,18.71,89275,19.01,90143,18.35,91858,19.41,91869,18.95,92730,18.75,93002,18.98,94712,21.68,93723,18.8,60678,12.61,68867,16.21,54805,12.88,80053,18.93,67451,18.52,90444,25.6
4,Assam,1155512,231.1,2453736,534.79,2112825,455.08,2019637,406.51,1896634,380.22,1247218,249.44,1393331,321.13,1292455,305.57,927709,340.7,1094288,288.05,881398,192.06,489137,161.38,615136,221.6,875773,281.61,1215892,487.61,1631138,589.48,1811744,424.82,1887227,403.44
5,Bihar,250825,50.17,2620799,581.53,4552080,1036.73,6063947,1303.41,6955360,1466.06,7538397,1574.11,7680555,1561.21,7924640,1645.14,8094051,1658.68,8263386,1732.97,8305359,1710.25,8167296,1648.57,7371969,1493.77,7568352,1580.14,7223738,1605.95,7565133,1705.66,7655824,1598.94,7580445,1544.4
6,Chandigarh,49,0.01,244,0.05,452,0.14,429,0.09,430,0.09,430,0.09,402,0.08,386,0.08,378,0.08,389,0.09,367,0.08,5,0,307,0.12,134,0.03,275,0.09,340,0.12,349,0.08,NA,NA
7,Chhattisgarh,113049,22.61,1063512,212.79,1624934,393.23,1845580,437.49,2479764,554.23,2640363,554.15,2917656,624.41,2849510,625.12,3024435,665.16,2772026,630.46,2738189,695.33,2036792,474.17,1993352,453.15,2024423,450.51,2154213,576.02,2320526,580.28,2431795,577.35,2496294,566.34
8,Delhi,NA,NA,NA,NA,11534,4.72,12452,2.6,13331,2.76,14045,2.89,13690,2.88,13974,3.1,14490,3.01,14618,3.06,14887,3.29,12409,2.5,12658,2.65,12931,2.77,8302,1.97,10240,3.22,10808,2.51,10765,2.23
9,Goa,2439,0.49,4260,0.85,6595,1.93,7491,1.53,8339,1.81,9145,1.94,8762,1.82,9263,2.08,9127,1.85,8879,1.8,8541,1.96,6638,1.35,5949,1.43,5664,1.21,5982,1.37,6263,1.76,6322,1.36,6332,1.33
10,Gujarat,2860817,572.16,3960807,819.81,4689101,1048.67,4871055,1016.53,5295254,1146.03,5567088,1147.08,5402185,1087.57,5543935,1184.44,5605178,1164.8,5842166,1250.97,5880132,1204.82,5187429,1056.11,4379108,909.14,4517853,961.37,4235545,1044.6,4640941,1203.53,4845930,1084.41,4912111,1038.67
11,Haryana,966569,193.31,1249045,273.41,1429947,325.47,1547049,313.95,1687047,379.11,1825169,387.71,1842843,385.43,1741125,362.36,1845863,397.42,1865784,386.81,1841461,391.1,1314815,264.26,1469375,331.04,1539260,344.21,1384970,323.07,1518308,375.33,1587992,362.17,1598937,341.98
12,Himachal Pradesh,457047,91.41,736192,163.94,834572,180.49,865307,180.93,890915,182.9,909924,185.15,903998,181.38,908840,186.42,936723,191.01,941413,192.75,942131,198.15,572128,115.13,670394,156.88,739076,177.59,715975,169.9,771348,185.73,806655,190.48,817494,171.88
13,Jammu and Kashmir,457877,91.58,716275,155.69,865258,186.76,983500,224.84,1027711,209.08,1112791,248.75,1128490,233.06,871748,187.39,879842,183.43,1097244,294.47,1092655,252.29,432229,88.19,667401,188.13,731860,176.61,765559,180.01,825628,215.12,853704,192.51,858257,182.54
14,Jharkhand,564685,112.94,727592,146.33,1332733,277.25,708435,141.88,1518901,439.31,2277786,504.84,2255748,460.3,1589008,390.77,1628561,361.43,1659896,376.96,2225573,717.16,1273956,350.19,1176903,260.26,1302856,318.78,1259786,381.94,1618075,839.79,1842809,633.31,1997224,545.97
15,Karnataka,19872,3.97,2963053,656.16,4666949,1083.87,4947251,1049.74,5114512,1033.93,5219760,1061.53,5281757,1063.26,5177858,1071.23,5213008,1092.11,3453252,709.48,4920226,1300.7,5005169,1069.07,4847557,1044.33,4934530,1017.44,4378004,966.43,4434025,979.5,4304818,958.26,4347737,941.76
16,Kerala,958040,191.61,1864863,453.19,2704976,800.95,2690854,684.15,3001874,682.63,3352808,713.79,3464869,717.92,3357682,694.42,3482013,739.32,3545239,752.43,3462015,707.34,2001850,406.78,2129984,485.22,2340995,554.16,2350848,662.25,2648060,689.25,2757427,637.24,2815143,597.93
17,Ladakh,7151,1.43,10189,2.28,13424,3.57,14120,2.94,14077,3.23,13679,2.74,16736,3.37,17418,3.84,17088,3.68,17190,3.63,17311,3.65,16500,3.44,14499,3.29,14453,3.49,14807,3.73,17682,4.73,18192,4.05,18201,3.77
18,Lakshadweep,NA,NA,NA,NA,NA,NA,1515,0.3,650,0.29,700,0.23,827,0.17,870,0.26,833,0.17,NA,NA,NA,NA,841,0.5,725,0.15,1436,1.98,1211,0.4,1314,0.54,1972,0.54,2198,0.45
19,Madhya Pradesh,9289,1.86,2505970,501.22,4930792,1200.09,6002294,1411.85,7494277,1831.65,7853617,1649.97,8000070,1679,8259905,1757.89,8329603,1698.24,8452130,1737.19,8347797,1730.07,8158380,1681.42,7144430,1467.24,7642661,1684.92,7568447,1705.95,7987390,1808.28,8080376,1679.83,8136105,1681.86
20,Maharashtra,2184095,436.82,4523525,1010.08,7147225,1940.36,8634869,1948.54,9697517,2189.04,10520801,2282.45,10391862,2201,9238235,1928.01,10252873,2316.49,10445434,2187.87,10126222,2059.91,9025926,1889.35,8122454,1709.1,8560196,1867.2,8454857,1996.33,8961525,2024.93,9143017,1940,9141983,1888.21
21,Manipur,31354,6.27,29245,5.85,90303,24.35,271293,56.51,454134,95.16,350676,70.78,356367,72.3,287282,58.8,277913,56.84,280140,61.51,364830,105.94,366207,86.95,NA,NA,3711,1.72,5871,2.53,104234,70.38,79194,28.01,85917,42.78
22,Meghalaya,9309,1.86,26725,7.86,61412,14.35,98732,21.18,162524,34.67,177153,35.82,181428,36.81,180845,36.97,191116,40.17,186231,38.51,95195,19.52,19950,4.86,10864,3.04,33388,15.8,55836,32.14,101537,56.83,130649,49.02,150412,33.91
23,Mizoram,27079,5.42,52684,11.75,65532,14.31,62766,12.89,124447,26.55,131985,27.05,145311,29.99,101627,22.16,104171,21.8,96172,20.66,86513,18.05,87298,18.46,41698,9.32,50741,14.7,55716,19.44,86223,54.92,99140,36.82,110285,31.36
24,Nagaland,32305,6.46,86447,17.64,158367,34.46,185313,39.06,190781,41.31,195904,40.68,196710,39.97,174707,35.25,196940,44.73,199290,42.73,182660,37.9,195620,42.45,113538,23.13,135346,32.56,118825,29.29,142758,36.13,162275,49.02,171914,42.84
25,Odisha,973871,194.77,2992559,598.59,2848155,575.6,2517671,512.52,2102661,431.14,2277015,467.87,2493443,559.08,2946608,1056.19,3203303,844.17,3278430,769.79,3310679,709.86,2154317,450.7,2348531,632.29,2693132,698.85,2496881,703.12,2896596,792.82,3058323,737.88,3148993,688.53
26,Puducherry,4264,0.85,5779,1.16,9106,2.78,9378,1.97,10198,2.2,10635,2.27,10344,2.1,10251,2.07,10245,2.06,10218,2.06,10157,2.06,9953,2.01,9118,1.83,8316,1.68,8054,1.68,8266,1.94,8182,1.73,8032,1.63
27,Punjab,1181642,236.33,1411655,312.85,2221693,483.41,2301321,466.47,1901760,417.89,1904609,384.87,1871655,374.47,1759974,357.06,1738690,349.17,1713917,349.62,1697277,340.91,207562,41.87,861009,308.69,856684,182.39,497229,152.67,717284,247.63,840274,290.56,926039,272.77
28,Rajasthan,64993,12.998,3834966,1191.47,4782875,1138.02,4849034,1053.28,5710181,1463.77,6315588,1425.38,6641747,1432.89,6932895,1600.32,6968392,1468.18,7143461,1525.19,7111293,1493.25,5671257,1163.89,5389136,1136.72,5688844,1283.26,4865929,1179.78,6260280,1640.93,6725665,1525.57,7031163,1544.86
29,Sikkim,NA,NA,1980,0.4,4008,0.8,1633,0.33,5675,2.34,6090,1.22,7917,1.58,9532,2.35,9754,2.04,9911,2.23,9489,2.26,11196,4.41,8052,1.98,10617,2.84,13945,6.73,20607,9.72,24364,6.4,28100,6.66
30,Tamil Nadu,2161289,432.26,2971360,660.93,3374445,753.06,3437359,716.9,4304755,933.63,4408832,902.8,3751562,756.76,3774679,792.51,3709968,744.82,3673798,742.28,3192734,707.52,2207396,452.93,2029560,414.3,2095323,443.91,2045364,491.39,2150553,503.46,2183435,460.03,2194272,455.86
31,Telangana,2028329,405.67,3160188,734.22,3422282,723.29,3243804,664.43,3473585,748.58,3586322,735.54,3573990,729.97,3549941,730.53,3593142,793.92,3606995,753.59,3553308,740.78,3253039,656.34,2984556,615.05,2951102,614.58,2871809,664.13,3064579,765.24,3098116,654.66,3077274,627.46
32,Dadra and Nagar Haveli and Daman and Diu,7580,1.52,11183,2.28,13519,3.03,13562,2.76,14034,2.92,9410,1.88,9690,1.95,9849,2.11,7561,2.68,11481,3.7,12737,3.71,12599,2.6,11429,2.34,11492,2.42,10346,2.33,11335,3.22,11567,2.56,11587,2.44
33,Tripura,151872,30.37,180865,36.4,189194,39.94,183203,37.09,199346,42.92,210166,42.74,219040,44.48,212358,43.99,214747,43.71,219098,46.24,233210,53.59,231359,49.4,219164,44.63,221251,45.63,194948,44.57,215284,49.14,224908,54.88,229303,47.65
34,Uttar Pradesh,11194428,2238.89,15146263,3206.44,17515747,3739.97,18182895,4060.24,21312066,5056.9,21907050,4620.58,22816719,4754.51,23725532,5516.91,23953319,5057.4,24174018,5199.52,24096465,5043.12,18226376,3716.93,17427348,3693.39,18654255,4249.82,17561387,4181.86,20364792,5376.64,21455861,4805.75,22572533,4980.88
35,Uttarakhand,415468,83.09,525702,107.36,656252,167.78,696191,156.87,767901,169.53,833784,174.78,849255,174.36,836869,174.74,878369,185.8,891441,186.58,889330,182.19,672047,135.92,720033,157.78,759700,168.85,679664,160.88,751003,183.23,786739,177.95,796926,168.75
36,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2029750,573.53,3584786,980.01,4629273,1074.79,4678485,1030.14,4443944,928.69,4290711,881.4,4471613,1003.94,3980679,909.34,4405641,1140.25,4498403,964.42,4502904,931.49
Grand Total,Grand Total,31619876,6323.98,60034451,13271.93,76599700,17526.86,82090050,17942.66,92693619,20989.37,97225907,20475.94,98473258,20474.54,99910514,22413.21,103441242,22394.51,104166702,22342.93,104838981,22616.31,85730472,18039.81,81234383,17649.42,85676569,19202.49,81216250,19596.6,90427479,23087.44,93767395,21029.96,95897635,20657.36
